,time,btc_high,btc_low,btc_open,btc_volumefrom,btc_volumeto,btc_close,eth_high,eth_low,eth_open,eth_volumefrom,eth_volumeto,eth_close,sol_high,sol_low,sol_open,sol_volumefrom,sol_volumeto,sol_close
0,2021-03-01 05:00:00,46544.14,46063.74,46529.19,1162.32,53770175.12,46256.2,1449.53,1430.1,1443.51,26952.1,38809188.1,1435.31,15.0,14.39,14.41,62534.22,925267.39,14.76
1,2021-03-01 06:00:00,46324.88,45710.48,46256.2,1287.07,59224776.47,45926.96,1443.91,1422.82,1435.31,21267.67,30458631.93,1426.42,15.01,14.44,14.76,21395.08,317461.21,14.56
2,2021-03-01 07:00:00,46451.64,45917.87,45926.96,1030.44,47578650.96,46337.98,1441.1,1424.49,1426.42,15928.39,22777294.15,1438.57,14.84,14.47,14.56,15689.05,230952.96,14.79
3,2021-03-01 08:00:00,47360.93,46337.92,46337.98,2793.09,131183915.86,47108.32,1475.97,1438.57,1438.57,30819.6,45001603.21,1467.38,15.0,14.68,14.79,21038.12,313706.88,14.78
4,2021-03-01 09:00:00,47570.7,47027.33,47108.32,2938.28,138978511.45,47413.22,1511.56,1467.25,1467.38,37814.23,56504517.34,1506.51,14.69,14.53,14.5,153540.86,2239286.96,14.58
5,2021-03-01 10:00:00,47766.92,47037.99,47413.22,2665.68,126320914.75,47702.14,1533.02,1498.11,1506.51,46717.94,70897616.53,1525.53,15.17,14.5,14.86,25589.25,382107.64,15.17
6,2021-03-01 11:00:00,47972.07,47559.6,47702.14,2291.92,109532288.82,47845.41,1532.23,1516.13,1525.53,26996.92,41197519.31,1527.56,15.22,14.79,15.17,31888.53,479599.52,15.0
7,2021-03-01 12:00:00,48104.63,47536.69,47845.41,2185.5,104673534.16,47994.39,1537.86,1512.86,1527.56,32703.71,49942792.45,1531.94,15.16,14.63,15.0,20368.0,307386.6,15.11
8,2021-03-01 13:00:00,48508.34,47858.8,47994.39,3112.14,150041125.29,47887.34,1540.84,1525.51,1531.94,30896.09,47386299.86,1525.51,15.2,14.93,15.11,31325.43,480484.86,14.93
9,2021-03-01 14:00:00,48609.79,47708.81,47887.34,3798.24,183274181.97,48162.93,1542.68,1517.1,1525.51,42301.02,64785570.78,1528.87,15.31,14.88,14.93,73948.08,1120154.72,15.29
10,2021-03-01 15:00:00,49397.25,48148.51,48162.93,7373.2,360837663.08,49293.44,1558.0,1528.3,1528.87,63175.28,97710627.22,1554.12,15.66,15.35,15.28,288378.34,4469246.43,15.5
11,2021-03-01 16:00:00,49519.31,48643.08,49293.44,4758.77,233683833.75,49165.86,1564.76,1530.27,1554.12,72725.68,112497999.87,1546.58,16.08,15.18,15.82,71443.3,1140319.87,15.44
12,2021-03-01 17:00:00,49272.5,48587.05,49165.86,3677.17,180024448.26,48618.1,1550.13,1520.73,1546.58,42590.24,65422498.07,1522.29,15.78,14.77,15.44,41427.46,637069.35,14.79
13,2021-03-01 18:00:00,48817.19,48296.4,48618.1,2750.55,133465489.38,48526.01,1530.67,1515.24,1522.29,23819.7,36270757.58,1525.31,14.89,14.67,14.73,111195.56,1650598.73,14.84
14,2021-03-01 19:00:00,48745.95,48064.51,48526.01,2593.05,125379417.96,48291.22,1532.03,1504.64,1525.31,27887.31,42369138.26,1513.78,14.9,14.7,14.84,71137.2,1053607.18,14.81
15,2021-03-01 20:00:00,48964.77,48006.47,48291.22,3526.37,170883490.31,48598.54,1526.45,1507.67,1513.78,30823.99,46747606.87,1520.19,15.28,14.61,14.88,34826.61,520919.22,14.67
16,2021-03-01 21:00:00,48928.11,48415.89,48598.54,1560.04,75974723.69,48855.16,1551.96,1516.57,1520.19,35298.28,54106870.05,1546.95,14.82,14.62,14.67,27422.16,404531.01,14.82
17,2021-03-01 22:00:00,49340.29,48679.08,48855.16,1644.76,80640178.7,49173.44,1556.38,1538.46,1546.95,26920.96,41573439.17,1551.63,15.03,14.8,14.82,14822.86,221306.71,15.03
18,2021-03-01 23:00:00,49812.2,49138.98,49173.44,2683.21,132931147.58,49635.07,1572.92,1549.92,1551.63,36335.0,56718591.35,1571.49,15.16,14.9,15.03,44408.05,667286.37,14.98
19,2021-03-02 00:00:00,50221.14,49374.47,49635.07,5057.93,252376975.86,49422.55,1604.11,1562.87,1571.49,65616.68,104084658.33,1567.27,15.16,14.75,14.99,144663.16,2183494.64,15.09
20,2021-03-02 01:00:00,49461.95,48760.79,49422.55,2564.7,126014558.51,49421.7,1570.82,1541.58,1567.27,44825.34,69682069.74,1569.56,15.14,14.95,15.08,23144.61,346687.18,15.03
21,2021-03-02 02:00:00,49813.42,49104.33,49421.7,1675.96,82913113.32,49281.67,1584.7,1551.44,1569.56,34504.92,54179287.03,1568.76,15.49,14.33,15.03,63594.35,936862.55,14.36
22,2021-03-02 03:00:00,49422.21,48871.36,49281.67,1781.42,87482736.73,48997.73,1576.32,1549.91,1568.76,21012.68,32804024.26,1556.75,14.58,14.25,14.36,53612.92,771313.22,14.4
23,2021-03-02 04:00:00,49245.73,48673.09,48997.73,2004.49,98162558.17,49171.22,1577.19,1554.25,1556.75,26858.56,42056579.83,1577.19,14.54,14.37,14.4,15598.96,225580.32,14.51
24,2021-03-02 05:00:00,49406.84,48709.45,49171.22,1622.27,79517739.8,48709.45,1566.01,1556.75,1576.92,20494.0,31944046.99,1558.7,14.62,14.48,14.51,17384.93,253386.92,14.48
25,2021-03-02 06:00:00,48869.01,48375.16,48709.45,1842.65,89520649.45,48653.77,1560.29,1536.97,1558.98,19661.31,30411733.51,1543.99,14.42,14.3,14.4,74104.93,1063617.84,14.35
26,2021-03-02 07:00:00,48845.63,48372.92,48653.77,1065.39,51784933.28,48407.14,1549.55,1532.98,1543.99,10570.05,16296401.46,1541.53,14.36,14.23,14.35,27973.57,400413.44,14.31
27,2021-03-02 08:00:00,49239.62,48334.74,48407.14,1263.16,61656912.68,48895.83,1565.02,1540.52,1541.53,10488.33,16316071.99,1559.52,14.9,14.31,14.36,17044.38,245705.71,14.9
28,2021-03-02 09:00:00,49279.14,48894.64,48895.83,875.33,42972037.16,49182.48,1574.13,1559.52,1559.52,9313.25,14599073.34,1565.79,15.13,14.65,14.9,18259.94,270982.38,15.01
29,2021-03-02 10:00:00,49290.32,48597.13,49182.48,1072.04,52504176.67,48723.45,1558.18,1550.38,1565.97,13820.59,21501241.35,1555.74,14.66,14.53,14.74,48274.03,701859.86,14.54
30,2021-03-02 11:00:00,49072.72,48585.42,48723.45,746.07,36469018.25,48879.87,1571.37,1550.76,1556.09,7590.52,11863080.57,1568.96,15.06,14.6,14.71,8527.73,125928.59,14.63
31,2021-03-02 12:00:00,49108.85,48631.81,48879.87,817.12,39873250.97,48865.19,1578.17,1556.84,1568.96,11954.45,18726018.59,1565.16,14.69,14.55,14.63,22874.14,334481.34,14.69
32,2021-03-02 13:00:00,49103.34,48781.44,48865.19,823.81,40336623.17,49028.48,1575.61,1563.41,1565.16,12841.35,20168640.88,1574.14,14.93,14.61,14.69,29274.63,432150.89,14.93
33,2021-03-02 14:00:00,49739.34,48824.58,49028.48,2339.07,115313896.5,48925.3,1594.38,1565.48,1574.14,20753.5,32838155.62,1569.85,15.12,14.85,14.93,23745.92,355723.35,14.87
34,2021-03-02 15:00:00,49072.92,48426.23,48925.3,1807.7,88053970.09,48692.91,1574.24,1550.79,1569.85,18130.24,28293474.16,1554.09,14.92,14.65,14.87,15368.76,227557.1,14.66
